Frames,Algorithm,PageRange,HotPages,RefLength,HotRatio,PageFaults,PageHits,HitRatio
5,LIRS,20,4,30,80%,10,20,66.7%
5,CLOCK-Pro,20,4,30,80%,10,20,66.7%
5,ARC,20,4,30,80%,10,20,66.7%
7,LIRS,20,4,30,80%,9,21,70.0%
7,CLOCK-Pro,20,4,30,80%,10,20,66.7%
7,ARC,20,4,30,80%,10,20,66.7%
9,LIRS,20,4,30,80%,8,22,73.3%
9,CLOCK-Pro,20,4,30,80%,8,22,73.3%
9,ARC,20,4,30,80%,8,22,73.3%
11,LIRS,20,4,30,80%,9,21,70.0%
11,CLOCK-Pro,20,4,30,80%,9,21,70.0%
11,ARC,20,4,30,80%,9,21,70.0%
13,LIRS,20,4,30,80%,7,23,76.7%
13,CLOCK-Pro,20,4,30,80%,7,23,76.7%
13,ARC,20,4,30,80%,7,23,76.7%
15,LIRS,20,4,30,80%,8,22,73.3%
15,CLOCK-Pro,20,4,30,80%,8,22,73.3%
15,ARC,20,4,30,80%,8,22,73.3%
17,LIRS,20,4,30,80%,9,21,70.0%
17,CLOCK-Pro,20,4,30,80%,9,21,70.0%
17,ARC,20,4,30,80%,9,21,70.0%
19,LIRS,20,4,30,80%,9,21,70.0%
19,CLOCK-Pro,20,4,30,80%,9,21,70.0%
19,ARC,20,4,30,80%,9,21,70.0%
