Run,Algorithm,Frames,PageRange,HotPages,RefLength,HotRatio,PageFaults,PageHits,HitRatio
1,LIRS,4,20,4,30,80%,9,21,70.0%
1,CLOCK-Pro,4,20,4,30,80%,13,17,56.7%
1,ARC,4,20,4,30,80%,11,19,63.3%
2,LIRS,4,20,4,30,80%,4,26,86.7%
2,CLOCK-Pro,4,20,4,30,80%,4,26,86.7%
2,ARC,4,20,4,30,80%,4,26,86.7%
3,LIRS,4,20,4,30,80%,11,19,63.3%
3,CLOCK-Pro,4,20,4,30,80%,14,16,53.3%
3,ARC,4,20,4,30,80%,11,19,63.3%
4,LIRS,4,20,4,30,80%,9,21,70.0%
4,CLOCK-Pro,4,20,4,30,80%,12,18,60.0%
4,ARC,4,20,4,30,80%,10,20,66.7%
5,LIRS,4,20,4,30,80%,13,17,56.7%
5,CLOCK-Pro,4,20,4,30,80%,17,13,43.3%
5,ARC,4,20,4,30,80%,15,15,50.0%
6,LIRS,4,20,4,30,80%,9,21,70.0%
6,CLOCK-Pro,4,20,4,30,80%,12,18,60.0%
6,ARC,4,20,4,30,80%,9,21,70.0%
7,LIRS,4,20,4,30,80%,9,21,70.0%
7,CLOCK-Pro,4,20,4,30,80%,12,18,60.0%
7,ARC,4,20,4,30,80%,12,18,60.0%
8,LIRS,4,20,4,30,80%,12,18,60.0%
8,CLOCK-Pro,4,20,4,30,80%,8,22,73.3%
8,ARC,4,20,4,30,80%,9,21,70.0%
9,LIRS,4,20,4,30,80%,8,22,73.3%
9,CLOCK-Pro,4,20,4,30,80%,7,23,76.7%
9,ARC,4,20,4,30,80%,7,23,76.7%
10,LIRS,4,20,4,30,80%,14,16,53.3%
10,CLOCK-Pro,4,20,4,30,80%,19,11,36.7%
10,ARC,4,20,4,30,80%,18,12,40.0%
11,LIRS,4,20,4,30,80%,7,23,76.7%
11,CLOCK-Pro,4,20,4,30,80%,11,19,63.3%
11,ARC,4,20,4,30,80%,8,22,73.3%
12,LIRS,4,20,4,30,80%,8,22,73.3%
12,CLOCK-Pro,4,20,4,30,80%,12,18,60.0%
12,ARC,4,20,4,30,80%,9,21,70.0%
13,LIRS,4,20,4,30,80%,12,18,60.0%
13,CLOCK-Pro,4,20,4,30,80%,17,13,43.3%
13,ARC,4,20,4,30,80%,13,17,56.7%
14,LIRS,4,20,4,30,80%,15,15,50.0%
14,CLOCK-Pro,4,20,4,30,80%,16,14,46.7%
14,ARC,4,20,4,30,80%,10,20,66.7%
15,LIRS,4,20,4,30,80%,9,21,70.0%
15,CLOCK-Pro,4,20,4,30,80%,12,18,60.0%
15,ARC,4,20,4,30,80%,10,20,66.7%
16,LIRS,4,20,4,30,80%,13,17,56.7%
16,CLOCK-Pro,4,20,4,30,80%,15,15,50.0%
16,ARC,4,20,4,30,80%,11,19,63.3%
17,LIRS,4,20,4,30,80%,8,22,73.3%
17,CLOCK-Pro,4,20,4,30,80%,10,20,66.7%
17,ARC,4,20,4,30,80%,8,22,73.3%
18,LIRS,4,20,4,30,80%,12,18,60.0%
18,CLOCK-Pro,4,20,4,30,80%,14,16,53.3%
18,ARC,4,20,4,30,80%,11,19,63.3%
19,LIRS,4,20,4,30,80%,9,21,70.0%
19,CLOCK-Pro,4,20,4,30,80%,13,17,56.7%
19,ARC,4,20,4,30,80%,12,18,60.0%
20,LIRS,4,20,4,30,80%,12,18,60.0%
20,CLOCK-Pro,4,20,4,30,80%,15,15,50.0%
20,ARC,4,20,4,30,80%,13,17,56.7%
21,LIRS,4,20,4,30,80%,16,14,46.7%
21,CLOCK-Pro,4,20,4,30,80%,14,16,53.3%
21,ARC,4,20,4,30,80%,12,18,60.0%
22,LIRS,4,20,4,30,80%,9,21,70.0%
22,CLOCK-Pro,4,20,4,30,80%,13,17,56.7%
22,ARC,4,20,4,30,80%,9,21,70.0%
23,LIRS,4,20,4,30,80%,6,24,80.0%
23,CLOCK-Pro,4,20,4,30,80%,8,22,73.3%
23,ARC,4,20,4,30,80%,6,24,80.0%
24,LIRS,4,20,4,30,80%,15,15,50.0%
24,CLOCK-Pro,4,20,4,30,80%,16,14,46.7%
24,ARC,4,20,4,30,80%,13,17,56.7%
25,LIRS,4,20,4,30,80%,10,20,66.7%
25,CLOCK-Pro,4,20,4,30,80%,11,19,63.3%
25,ARC,4,20,4,30,80%,10,20,66.7%
26,LIRS,4,20,4,30,80%,9,21,70.0%
